Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Credit_Risk,Total_Credit_Score,reject
67,male,Skilled,own,little,little,1169,6,radio/TV,Good,831.482233108009,Accepted
49,male,Unskilled-Resident,own,little,little,2096,12,education,Good,817.0505562818903,Accepted
53,male,Skilled,free,little,little,4870,24,car,Good,510.1559532007078,Accepted
53,male,Skilled,own,quite rich,little,2835,24,furniture/equipment,Good,545.6301988085365,Accepted
61,male,Unskilled-Resident,own,rich,little,3059,12,radio/TV,Good,577.8242805940329,Accepted
25,female,Skilled,rent,little,moderate,1295,12,car,Good,808.9166712563353,Accepted
22,female,Skilled,own,little,moderate,1567,12,radio/TV,Good,835.2829366018863,Accepted
60,male,Unskilled-Resident,own,little,little,1199,24,car,Good,769.7445836614858,Accepted
28,female,Skilled,rent,little,little,1403,15,car,Good,806.372869644793,Accepted
32,female,Unskilled-Resident,own,moderate,little,1282,24,radio/TV,Good,795.684267452295,Accepted
53,male,Skilled,own,little,little,2424,24,radio/TV,Good,529.8583291393238,Accepted
31,male,Skilled,own,quite rich,little,3430,24,radio/TV,Good,551.3149883351234,Accepted
48,male,Skilled,own,little,little,2134,9,car,Good,811.779857169393,Accepted
44,male,Skilled,rent,quite rich,little,2647,6,radio/TV,Good,583.2968254613629,Accepted
48,male,Unskilled-Resident,rent,little,little,2241,10,car,Good,792.9795334881933,Accepted
44,male,Skilled,own,moderate,moderate,1804,12,car,Good,799.6434228951282,Accepted
26,male,Skilled,own,little,little,2069,10,furniture/equipment,Good,830.1399331725722,Accepted
36,male,Unskilled-Resident,own,little,little,1374,6,furniture/equipment,Good,832.5765375308882,Accepted
39,male,Unskilled-Resident,own,little,little,426,6,radio/TV,Good,831.482233108009,Accepted
42,female,Skilled,rent,rich,rich,409,12,radio/TV,Good,875.4333743574249,Accepted
34,male,Skilled,own,little,moderate,2415,7,radio/TV,Good,575.2831496219644,Accepted
36,male,Skilled,own,rich,moderate,1913,18,business,Good,799.5447169086119,Accepted
27,male,Skilled,own,little,little,4020,24,furniture/equipment,Good,540.6524634781521,Accepted
57,male,Unskilled-Resident,rent,little,little,1264,12,business,Good,792.9795334881933,Accepted
33,female,Highly Skilled,own,little,rich,1474,12,furniture/equipment,Good,832.2875548991597,Accepted
25,male,Unskilled-Resident,own,little,moderate,4746,45,radio/TV,Good,487.55250366583806,Accepted
37,male,Skilled,own,little,rich,2100,18,radio/TV,Good,843.0165724582504,Accepted
37,male,Skilled,own,little,rich,1225,10,domestic appliances,Good,862.2766950887124,Accepted
24,male,Skilled,own,little,moderate,458,9,radio/TV,Good,844.571609998691,Accepted
26,male,Skilled,own,quite rich,moderate,1158,12,radio/TV,Good,850.5022879454926,Accepted
35,female,Highly Skilled,own,little,little,1393,11,car,Good,773.0438296803086,Accepted
39,male,Skilled,own,quite rich,little,2299,36,radio/TV,Good,778.3463648387217,Accepted
23,female,Unskilled-Non Resident,rent,quite rich,little,1352,6,car,Good,839.1202177516667,Accepted
28,female,Skilled,own,moderate,little,2073,12,radio/TV,Good,835.2829366018863,Accepted
29,male,Unskilled-Resident,own,little,moderate,2333,24,furniture/equipment,Good,530.9526335622031,Accepted
25,male,Skilled,own,little,little,1262,12,radio/TV,Good,832.4351757244261,Accepted
31,male,Skilled,own,little,little,3378,18,car,Good,521.8889742267676,Accepted
57,male,Skilled,free,little,moderate,2225,36,car,Good,740.5768766790392,Accepted
26,male,Unskilled-Resident,own,little,little,783,6,car,Good,824.869234060075,Accepted
23,female,Highly Skilled,own,little,rich,1961,18,car,Good,803.0248862460307,Accepted
27,male,Skilled,own,little,moderate,1391,9,business,Good,824.869234060075,Accepted
50,male,Skilled,own,little,moderate,1537,15,radio/TV,Good,816.8019972222019,Accepted
61,male,Highly Skilled,free,little,moderate,1953,36,business,Good,707.7399756120263,Accepted
26,female,Skilled,own,little,little,3181,24,radio/TV,Good,545.7954669074661,Accepted
29,female,Skilled,own,little,little,2171,12,radio/TV,Good,825.5831066859374,Accepted
22,male,Skilled,own,rich,moderate,1007,12,car,Good,830.7999120068766,Accepted
37,male,Skilled,free,little,little,1819,36,education,Good,761.3735570405344,Accepted
25,female,Skilled,own,little,little,2394,36,radio/TV,Good,516.6277599250195,Accepted
46,male,Unskilled-Resident,rent,little,little,730,7,radio/TV,Good,824.8183437010741,Accepted
51,male,Highly Skilled,free,little,little,1164,8,vacation/others,Good,798.6453320409962,Accepted
40,male,Highly Skilled,own,little,little,1977,36,education,Good,725.1471089987884,Accepted
66,male,Highly Skilled,free,little,little,1526,12,car,Good,766.8065218281154,Accepted
51,male,Skilled,own,little,moderate,4771,11,radio/TV,Good,559.7571683729664,Accepted
22,male,Skilled,own,little,moderate,3832,30,furniture/equipment,Good,511.4847564957055,Accepted
47,male,Skilled,own,quite rich,little,1213,15,radio/TV,Good,834.8691094432684,Accepted
24,female,Unskilled-Resident,rent,moderate,little,1568,18,business,Good,787.3613060740195,Accepted
58,female,Unskilled-Resident,own,little,little,1755,24,vacation/others,Good,792.2947204775619,Accepted
52,male,Unskilled-Resident,own,little,little,2315,10,radio/TV,Good,819.3457988337442,Accepted
29,female,Highly Skilled,own,little,little,1412,12,business,Good,773.0438296803086,Accepted
27,female,Skilled,own,little,moderate,1295,18,furniture/equipment,Good,811.4323288677165,Accepted
30,male,Highly Skilled,own,moderate,little,2249,18,car,Good,748.6407036205326,Accepted
28,male,Skilled,own,little,little,1108,12,repairs,Good,832.4351757244261,Accepted
56,male,Skilled,own,little,little,618,12,radio/TV,Good,819.3457988337442,Accepted
54,male,Skilled,own,little,little,1409,12,car,Good,799.6434228951282,Accepted
33,female,Unskilled-Resident,own,little,little,797,12,radio/TV,Good,825.5831066859374,Accepted
20,male,Skilled,rent,little,rich,3617,24,furniture/equipment,Good,575.8251659033061,Accepted
54,male,Skilled,own,rich,moderate,1318,12,car,Good,817.7105351161947,Accepted
61,female,Skilled,own,little,little,2012,12,education,Good,819.8983171593504,Accepted
34,male,Skilled,own,moderate,moderate,2622,18,business,Good,521.8889742267676,Accepted
36,male,Skilled,own,little,moderate,2337,36,radio/TV,Good,504.08016913161043,Accepted
41,male,Unskilled-Resident,rent,moderate,little,1469,24,car,Good,763.0806942545508,Accepted
24,male,Skilled,rent,little,moderate,2323,36,radio/TV,Good,507.1161096406245,Accepted
24,female,Skilled,own,little,little,932,6,radio/TV,Good,847.4193708761511,Accepted
35,male,Skilled,rent,little,moderate,1919,9,furniture/equipment,Good,825.9126481239533,Accepted
26,male,Skilled,rent,little,little,2445,12,car,Good,546.4802799180975,Accepted
35,male,Skilled,own,quite rich,moderate,1410,14,business,Good,818.5562804793855,Accepted
31,male,Skilled,own,moderate,moderate,1449,6,business,Good,815.1694041441261,Accepted
23,female,Skilled,rent,little,rich,392,15,education,Good,865.6165948636441,Accepted
35,male,Skilled,own,quite rich,little,1680,12,radio/TV,Good,840.8024580295438,Accepted
27,female,Skilled,rent,little,little,2132,10,furniture/equipment,Good,826.3238046430974,Accepted
23,female,Skilled,own,quite rich,little,4281,33,furniture/equipment,Good,532.3996295942321,Accepted
36,male,Highly Skilled,own,quite rich,moderate,2366,12,car,Good,528.6745505631372,Accepted
25,female,Skilled,own,little,little,1835,21,radio/TV,Good,813.7275714195704,Accepted
24,male,Unskilled-Resident,rent,little,little,1768,12,furniture/equipment,Good,823.4760437656373,Accepted
63,male,Skilled,free,little,rich,781,10,car,Good,841.4800147272172,Accepted
27,female,Skilled,rent,little,moderate,1924,18,furniture/equipment,Good,804.7684394607816,Accepted
30,male,Skilled,own,little,little,2121,12,car,Good,803.0329698698613,Accepted
